Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1337314	0.0190611175293386	0.0139010556598566	0.0842992026702722	0.170893486581977	0	0	0	0.0599019419468901	0.0900047411209701	0.00930655471006276	0	0.0142332221941321	0.00341411335576005	0	0.159272115963996	0.313516954651745	0.00901259853652324	0	0.0309881005336493	0	0	0.0221947945448268	0	0.460415219967605	0.886974319798334
GSM1337315	0.0435210911371846	0	0.0351820083999421	0.166233591134553	0	0	0	0.029814716852937	0.0559767867327789	0	0	0.00227321292096186	0	0.0166534329952596	0.0581951472988171	0.443022389757686	0.0242330057609645	0	0.118997845386557	0	0	0.00589677162235852	0	0.414282409255716	0.909485871906723
GSM1337316	0.0760755273430314	0	0.108476110471681	0.0855058115074101	0	0.0395871796936037	0	0.0765236703068561	0.0734596760820273	0.0178553931571547	0.00886147773998368	0	0.00958370531384586	0.0444529746961325	0.0796341757025805	0.3337037943224	0	0	0.0085470802389505	0.0153410378619626	0	0.0223923855623813	0	0.513621880221961	0.861110843863614
GSM1337317	0.054381573835018	0.00257140610744736	0.0721376795011879	0.0813315756492046	0	0.0377645071721638	0.00929385721414705	0.0889542701136381	0.0293298020219995	0.0213151790509086	0	0.0115107056531275	0.0280562059520976	0	0.177550081886533	0.259600748157387	0.0316867278365551	0	0.0767200014825787	0	0	0.0177956783660062	0	0.550378419515674	0.841794007875841
GSM1337318	0.0802655386723906	0	0.0716072670237966	0	0	0.028998794321274	0	0.0289551380145636	0.041242752759373	0.0380042053235283	0.000237559318550526	0	0	0.30092820815043	0.0445436323126388	0.301071646344993	0	0	0.0316567313896051	0.0196918029200942	0	0.0127967234487621	0	0.522381227756347	0.852825030370757
GSM1337319	0.0262739876259806	0	0.117436336767372	0.174416021574561	0	0	0.00133067958778496	0.0859110340277498	0.0458658513788706	0.0119364785062202	0	0	0	0	0.0475879114850511	0.408962624423103	0.00169795574654002	0.00484790141279606	0.0518480513810199	0	0	0.0218851660829505	0	0.485738535702768	0.875177872715125
GSM1337320	0.14389159716794	0.0390708563521311	0.0692566301751595	0.0813071569721511	0	0.00293808597723708	0.0022965382129976	0.166888531321116	0.0396413321833127	0.0459933998077675	0	0	0.00222232887702646	0.0552176865333459	0.0882258697028543	0.204958610662355	0.0016500047632604	0	0.0505437223003825	0	0	0.00589764899096236	0	0.726535325769827	0.744233246994623
GSM1337321	0.0421570764013492	0	0.0490151370840219	0.17502045128928	0	0	0.00194582776778522	0.081037673211314	0.04731582077948	0.0178362248303834	0	0.0266628289708519	0.0426143946152987	0	0.117198792219649	0.286825091939319	0.0127284353215274	0	0.0871181941410199	0	0	0.0125240514287209	0	0.643913983797457	0.798385330838429
GSM1337322	0.010633657749875	0.000103070051842978	0.210714939576386	0.05180347437996	0	0	0	0.0642018715028237	0.0123447646025873	0.0422053967117073	0	0.0246176505959829	0.00489124717181122	0.114497381909	0.053407687288766	0.347696843167261	0	0	0.030524400773527	0.0187805485038049	0	0.0135770660146645	0	0.586325560550411	0.816657843559503
GSM1337323	0.0785363604566627	0	0.147326639444359	0.0868986033957432	0	0	0.00536706504287009	0.0996671882685628	0.0310702209849432	0.0153691045692845	0.000681687081077865	0	0	0.191870942174904	0.117574558137197	0.183904614374413	0	0	0.018397928583316	0.0199484102155743	0	0.00338667727109144	0	0.703606798101233	0.748788651114758
GSM1337324	0	0.0266459076397857	0.0068971241008556	0.0721030465795686	0	0.0215694779280707	0	0.0382694717955046	0.0313723630362336	0	0	0.00848655788019469	0	0	0.0391082963746784	0.605189901802585	0.0184578710786627	0	0.0772530563654771	0.0099027014273408	0	0.0447442239910421	0	0.456370206975356	0.889650013027641
GSM1337325	0.0397604591198853	0	0.170412167391976	0.0407115736200903	0	0.0307142196330826	0	0.0619524562851192	0.0211261767187423	0.0501280304507981	0	0	7.3371221797429e-05	0.0640798109912057	0.0628066993053789	0.396184248838785	0.0106886525989729	0	0.00620178761127148	0.0133109227782417	0	0.0318494234346534	0	0.433759300149645	0.900711490823935
GSM1337326	0.0103580779921928	0	0.0795011185768599	0.0924414914808335	0	0.00330376872894847	0	0.064178915217134	0.0353114969542652	0	0	0.00834203522537692	0.0193993476526564	0	0.0743657312244552	0.498261063226231	0.0220818368569059	0	0	0.0739079237670894	0	0.0185471930970507	0	0.457433729044404	0.888463683514106
