Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","45","GC06M065915","18.3904628753662","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"SERPINH1","Serpin Family H Member 1","Protein Coding","44","GC11P075562","18.359302520752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINH1"
"IL6ST","Interleukin 6 Cytokine Family Signal Transducer","Protein Coding","46","GC05M055935","18.310998916626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6ST"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","46","GC12M006328","18.2143211364746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"IL1R1","Interleukin 1 Receptor Type 1","Protein Coding","44","GC02P102136","18.2127342224121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1R1"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","46","GC01M011785","17.8637638092041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"IL4","Interleukin 4","Protein Coding","44","GC05P132673","17.7292556762695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"CCR5","C-C Motif Chemokine Receptor 5","Protein Coding","44","GC03P046776","17.4237537384033","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5"
"HLA-DQB1","Major Histocompatibility Complex, Class II, DQ Beta 1","Protein Coding","42","GC06M066016","17.3064861297607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQB1"
"MMP1","Matrix Metallopeptidase 1","Protein Coding","49","GC11M102810","17.2404823303223","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1"
"TNFSF11","TNF Superfamily Member 11","Protein Coding","45","GC13P042562","17.2277526855469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF11"
"CCR6","C-C Motif Chemokine Receptor 6","Protein Coding","42","GC06P167111","17.1678638458252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR6"
"IL6R","Interleukin 6 Receptor","Protein Coding","46","GC01P154405","17.0391426086426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6R"
"IL1A","Interleukin 1 Alpha","Protein Coding","42","GC02M112773","16.906717300415","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A"
"PTGS2","Prostaglandin-Endoperoxide Synthase 2","Protein Coding","47","GC01M186640","16.76247215271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2"
"MMP13","Matrix Metallopeptidase 13","Protein Coding","49","GC11M102942","16.5144939422607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP13"
"SLC11A1","Solute Carrier Family 11 Member 1","Protein Coding","45","GC02P218382","16.2859764099121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC11A1"
"LTA","Lymphotoxin Alpha","Protein Coding","40","GC06P083693","15.8814601898193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTA"
"CCL5","C-C Motif Chemokine Ligand 5","Protein Coding","41","GC17M035871","15.8355350494385","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5"
"NLRP1","NLR Family Pyrin Domain Containing 1","Protein Coding","42","GC17M005499","15.8258924484253","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP1"
"TNFRSF11B","TNF Receptor Superfamily Member 11b","Protein Coding","46","GC08M118923","15.8193197250366","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11B"
"FCGR3A","Fc Gamma Receptor IIIa","Protein Coding","44","GC01M161541","15.6819429397583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3A"
"S100A12","S100 Calcium Binding Protein A12","Protein Coding","38","GC01M153373","15.3569259643555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A12"
"IL15","Interleukin 15","Protein Coding","38","GC04P141636","15.3510494232178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL15"
"MAFB","MAF BZIP Transcription Factor B","Protein Coding","42","GC20M040685","15.2246980667114","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAFB"
"FLG","Filaggrin","Protein Coding","40","GC01M152274","15.2243890762329","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLG"
"S100A9","S100 Calcium Binding Protein A9","Protein Coding","41","GC01P153357","15.2184238433838","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A9"
"VCAM1","Vascular Cell Adhesion Molecule 1","Protein Coding","44","GC01P100719","15.2119121551514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1"
"TLR4","Toll Like Receptor 4","Protein Coding","49","GC09P117704","15.0293207168579","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"CSF2","Colony Stimulating Factor 2","Protein Coding","41","GC05P132073","14.8919849395752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2"
"IL21","Interleukin 21","Protein Coding","42","GC04M122612","14.8108434677124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL21"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","46","GC06P043770","14.6491231918335","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"HLA-DQA1","Major Histocompatibility Complex, Class II, DQ Alpha 1","Protein Coding","42","GC06P083727","14.6470289230347","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQA1"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","48","GC19P010466","14.6445474624634","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"BLK","BLK Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","48","GC08P011486","14.6013736724854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLK"
"FCGR2A","Fc Gamma Receptor IIa","Protein Coding","45","GC01P161505","14.588038444519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR2A"
"BGLAP","Bone Gamma-Carboxyglutamate Protein","Protein Coding","38","GC01P156242","14.5665998458862","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BGLAP"
"REL","REL Proto-Oncogene, NF-KB Subunit","Protein Coding","45","GC02P060881","14.4690990447998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REL"
"FOXP3","Forkhead Box P3","Protein Coding","45","GC0XM049250","14.2601680755615","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","52","GC20P046008","14.2161712646484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"OLAH","Oleoyl-ACP Hydrolase","Protein Coding","33","GC10P015032","14.1889982223511","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OLAH"
"MBL2","Mannose Binding Lectin 2","Protein Coding","45","GC10M052760","13.9154005050659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBL2"
"IL1RAPL2","Interleukin 1 Receptor Accessory Protein Like 2","Protein Coding","38","GC0XP104566","13.8897304534912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RAPL2"
"FSTL1","Follistatin Like 1","Protein Coding","41","GC03M120392","13.8656644821167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSTL1"
"TIMP1","TIMP Metallopeptidase Inhibitor 1","Protein Coding","42","GC0XP047596","13.8545751571655","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP1"
"FCGR3B","Fc Gamma Receptor IIIb","Protein Coding","42","GC01M161623","13.8458576202393","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3B"
"SIAE","Sialic Acid Acetylesterase","Protein Coding","37","GC11M124633","13.8260746002197","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIAE"
"CD40LG","CD40 Ligand","Protein Coding","46","GC0XP136649","13.7651414871216","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG"
"RELB","RELB Proto-Oncogene, NF-KB Subunit","Protein Coding","43","GC19P066884","13.7008638381958","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELB"
"CSF1","Colony Stimulating Factor 1","Protein Coding","42","GC01P109911","13.5678291320801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1"
"TNFSF13B","TNF Superfamily Member 13b","Protein Coding","43","GC13P108251","13.5229024887085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF13B"
"TLR2","Toll Like Receptor 2","Protein Coding","49","GC04P153684","13.5198831558228","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR2"
"ITGAV","Integrin Subunit Alpha V","Protein Coding","45","GC02P186589","13.4834794998169","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAV"
"IL23R","Interleukin 23 Receptor","Protein Coding","43","GC01P067138","13.4664936065674","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL23R"
"PADI2","Peptidyl Arginine Deiminase 2","Protein Coding","41","GC01M017066","13.4444732666016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PADI2"
"TNFRSF13C","TNF Receptor Superfamily Member 13C","Protein Coding","42","GC22M057604","13.3560018539429","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF13C"
"PHF19","PHD Finger Protein 19","Protein Coding","38","GC09M120855","13.3505868911743","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHF19"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","48","GC10P092502","13.3192682266235","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"CAT","Catalase","Protein Coding","49","GC11P034460","13.2809028625488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT"
"SLC19A1","Solute Carrier Family 19 Member 1","Protein Coding","45","GC21M045493","13.2584314346313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC19A1"
"TAGAP","T Cell Activation RhoGTPase Activating Protein","Protein Coding","38","GC06M159034","13.1435174942017","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAGAP"
"TNFAIP6","TNF Alpha Induced Protein 6","Protein Coding","41","GC02P151357","13.1173934936523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP6"
"SYK","Spleen Associated Tyrosine Kinase","Protein Coding","48","GC09P092021","13.1069231033325","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYK"
"CCR2","C-C Motif Chemokine Receptor 2","Protein Coding","44","GC03P046775","13.0648345947266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR2"
"AP4B1-AS1","AP4B1 Antisense RNA 1","RNA Gene","14","GC01P113813","13.037070274353","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP4B1-AS1"
"CD28","CD28 Molecule","Protein Coding","45","GC02P203706","12.9450702667236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD28"
"HMGB1","High Mobility Group Box 1","Protein Coding","44","GC13M030456","12.8535108566284","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1"
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","44","GC03P186842","12.829270362854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"HLA-DPB1","Major Histocompatibility Complex, Class II, DP Beta 1","Protein Coding","44","GC06P083734","12.7771663665771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DPB1"
"PPP1CC","Protein Phosphatase 1 Catalytic Subunit Gamma","Protein Coding","43","GC12M110709","12.7503633499146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1CC"
"MAPK14","Mitogen-Activated Protein Kinase 14","Protein Coding","49","GC06P083841","12.7375116348267","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14"
"SELE","Selectin E","Protein Coding","41","GC01M169722","12.6854600906372","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELE"
"LACC1","Laccase Domain Containing 1","Protein Coding","34","GC13P043879","12.6603174209595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LACC1"
"MMP12","Matrix Metallopeptidase 12","Protein Coding","45","GC11M102862","12.6541996002197","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP12"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","50","GC16P055390","12.6407775878906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"ADAM17","ADAM Metallopeptidase Domain 17","Protein Coding","49","GC02M009488","12.532509803772","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17"
"ATIC","5-Aminoimidazole-4-Carboxamide Ribonucleotide Formyltransferase/IMP Cyclohydrolase","Protein Coding","44","GC02P215311","12.5304822921753","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATIC"
"PDCD1","Programmed Cell Death 1","Protein Coding","45","GC02M241849","12.506537437439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD1"
"PRTN3","Proteinase 3","Protein Coding","44","GC19P000840","12.463285446167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRTN3"
"HLA-DMA","Major Histocompatibility Complex, Class II, DM Alpha","Protein Coding","39","GC06M066028","12.4561443328857","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DMA"
"IL13","Interleukin 13","Protein Coding","41","GC05P132656","12.4075145721436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13"
"IL37","Interleukin 37","Protein Coding","36","GC02P122457","12.3892612457275","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL37"
"FCGR2B","Fc Gamma Receptor IIb","Protein Coding","45","GC01P161724","12.3834495544434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR2B"
"CCL3","C-C Motif Chemokine Ligand 3","Protein Coding","37","GC17M036088","12.3607292175293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3"
"BTNL2","Butyrophilin Like 2","Protein Coding","38","GC06M032393","12.3320121765137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTNL2"
"DDX39B","DExD-Box Helicase 39B","Protein Coding","38","GC06M031530","12.3085422515869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX39B"
"TNFRSF11A","TNF Receptor Superfamily Member 11a","Protein Coding","44","GC18P062325","12.2762966156006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11A"
"IL17RA","Interleukin 17 Receptor A","Protein Coding","43","GC22P018684","12.2620086669922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17RA"
"CARD8","Caspase Recruitment Domain Family Member 8","Protein Coding","39","GC19M066028","12.20627784729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD8"
"MAP3K8","Mitogen-Activated Protein Kinase Kinase Kinase 8","Protein Coding","44","GC10P030510","12.189380645752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K8"
"CXCL10","C-X-C Motif Chemokine Ligand 10","Protein Coding","42","GC04M076021","12.1349630355835","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10"
"IL7","Interleukin 7","Protein Coding","40","GC08M078689","12.1195621490479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7"
"MICB","MHC Class I Polypeptide-Related Sequence B","Protein Coding","40","GC06P083690","12.1043930053711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICB"
"SPP1","Secreted Phosphoprotein 1","Protein Coding","44","GC04P087975","12.0919570922852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1"
"CHI3L1","Chitinase 3 Like 1","Protein Coding","44","GC01M203148","12.0670833587646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHI3L1"
"TNIP1","TNFAIP3 Interacting Protein 1","Protein Coding","39","GC05M151029","12.0605354309082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNIP1"
"LRRK2","Leucine Rich Repeat Kinase 2","Protein Coding","47","GC12P040196","11.9319906234741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRK2"
"DHODH","Dihydroorotate Dehydrogenase (Quinone)","Protein Coding","45","GC16P072008","11.9304609298706","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHODH"
"BST1","Bone Marrow Stromal Cell Antigen 1","Protein Coding","41","GC04P018192","11.9148721694946","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BST1"
"NFKBIA","NFKB Inhibitor Alpha","Protein Coding","48","GC14M035401","11.8131923675537","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKBIA"
"NOS2","Nitric Oxide Synthase 2","Protein Coding","47","GC17M027756","11.8053503036499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2"
"CD79A","CD79a Molecule","Protein Coding","45","GC19P041877","11.7952899932861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79A"
"RETN","Resistin","Protein Coding","41","GC19P007669","11.7924671173096","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETN"
"TRAF6","TNF Receptor Associated Factor 6","Protein Coding","44","GC11M036467","11.7272729873657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF6"
"HLA-DMB","Major Histocompatibility Complex, Class II, DM Beta","Protein Coding","40","GC06M032934","11.6851186752319","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DMB"
"PIK3CG","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma","Protein Coding","46","GC07P106865","11.6558418273926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG"
"GPI","Glucose-6-Phosphate Isomerase","Protein Coding","46","GC19P034359","11.6401767730713","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPI"
"TFRC","Transferrin Receptor","Protein Coding","47","GC03M196027","11.5734691619873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFRC"
"HSPA4","Heat Shock Protein Family A (Hsp70) Member 4","Protein Coding","40","GC05P133051","11.5528545379639","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA4"
"CXCL12","C-X-C Motif Chemokine Ligand 12","Protein Coding","42","GC10M044370","11.5479698181152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL12"
"COL2A1","Collagen Type II Alpha 1 Chain","Protein Coding","46","GC12M047972","11.5434837341309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL2A1"
"FOLR2","Folate Receptor Beta","Protein Coding","41","GC11P072216","11.5240383148193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOLR2"
"MAPK8","Mitogen-Activated Protein Kinase 8","Protein Coding","47","GC10P048306","11.5084228515625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8"
"FASLG","Fas Ligand","Protein Coding","45","GC01P172628","11.5006818771362","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG"
"HSPA5","Heat Shock Protein Family A (Hsp70) Member 5","Protein Coding","46","GC09M125234","11.4933757781982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA5"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","46","GC01M058780","11.4475164413452","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"IL23A","Interleukin 23 Subunit Alpha","Protein Coding","36","GC12P057293","11.4305973052979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL23A"
"CXCR3","C-X-C Motif Chemokine Receptor 3","Protein Coding","42","GC0XM071615","11.4098167419434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR3"
"CD44","CD44 Molecule (Indian Blood Group)","Protein Coding","45","GC11P035139","11.4025564193726","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44"
"CD247","CD247 Molecule","Protein Coding","47","GC01M167399","11.3663206100464","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD247"
"CCRL2","C-C Motif Chemokine Receptor Like 2","Protein Coding","38","GC03P046407","11.3577260971069","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCRL2"
"ITGB2","Integrin Subunit Beta 2","Protein Coding","49","GC21M044885","11.3416471481323","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB2"
"CD36","CD36 Molecule","Protein Coding","46","GC07P080369","11.2970638275146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36"
"NAMPT","Nicotinamide Phosphoribosyltransferase","Protein Coding","46","GC07M106248","11.2949829101563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAMPT"
"MPO","Myeloperoxidase","Protein Coding","49","GC17M058269","11.2656269073486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO"
"CRH","Corticotropin Releasing Hormone","Protein Coding","42","GC08M066176","11.240626335144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRH"
"CLEC16A","C-Type Lectin Domain Containing 16A","Protein Coding","36","GC16P010944","11.237006187439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC16A"
"BTLA","B And T Lymphocyte Associated","Protein Coding","38","GC03M112463","11.236364364624","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTLA"
"ELMO2","Engulfment And Cell Motility 2","Protein Coding","41","GC20M046366","11.2135486602783","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELMO2"
"NR3C1","Nuclear Receptor Subfamily 3 Group C Member 1","Protein Coding","48","GC05M143277","11.1840667724609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1"
